Prices (USD/bbl),Date (CDT),Time (CDT)
71.93,2021-07-27,21:35:59
71.9,2021-07-27,21:40:01
71.83,2021-07-27,21:45:01
71.68,2021-07-27,21:50:02
71.74,2021-07-27,21:55:01
71.84,2021-07-27,22:00:01
71.75,2021-07-27,22:06:01
71.8,2021-07-27,22:10:59
71.8,2021-07-27,22:15:01
71.73,2021-07-27,22:21:00
71.71,2021-07-27,22:25:01
71.77,2021-07-27,22:30:01
71.6,2021-07-27,22:35:01
71.44,2021-07-27,22:40:01
71.43,2021-07-27,22:45:01
71.57,2021-07-27,22:50:01
71.62,2021-07-27,22:56:01
71.49,2021-07-27,23:00:01
71.5,2021-07-27,23:06:01
71.53,2021-07-27,23:10:01
71.45,2021-07-27,23:15:02
71.41,2021-07-27,23:21:01
71.39,2021-07-27,23:25:01
71.31,2021-07-27,23:30:01
71.28,2021-07-27,23:35:01
71.09,2021-07-27,23:41:01
71.37,2021-07-27,23:45:01
71.41,2021-07-27,23:50:01
71.31,2021-07-27,23:55:02
71.33,2021-07-28,00:00:01
71.35,2021-07-28,00:06:01
71.36,2021-07-28,00:11:00
71.37,2021-07-28,00:15:02
71.32,2021-07-28,00:21:02
71.31,2021-07-28,00:25:01
71.31,2021-07-28,00:30:01
71.28,2021-07-28,00:36:01
71.36,2021-07-28,00:40:01
71.4,2021-07-28,00:46:01
71.47,2021-07-28,00:50:01
71.53,2021-07-28,00:55:01
71.55,2021-07-28,01:00:01
71.7,2021-07-28,01:05:01
71.81,2021-07-28,01:10:01
71.77,2021-07-28,01:15:01
71.82,2021-07-28,01:20:01
71.63,2021-07-28,01:25:01
71.67,2021-07-28,01:30:01
71.58,2021-07-28,01:36:00
71.58,2021-07-28,01:41:00
71.56,2021-07-28,01:46:01
71.54,2021-07-28,01:50:58
71.54,2021-07-28,01:55:01
71.6,2021-07-28,02:00:55
71.6,2021-07-28,02:05:01
71.62,2021-07-28,02:11:00
71.66,2021-07-28,02:15:53
71.65,2021-07-28,02:20:56
71.66,2021-07-28,02:25:32
71.71,2021-07-28,02:30:58
71.71,2021-07-28,02:35:44
71.71,2021-07-28,02:40:51
71.73,2021-07-28,02:45:53
71.72,2021-07-28,02:50:01
71.76,2021-07-28,02:56:01
71.81,2021-07-28,03:00:01
71.8,2021-07-28,03:05:59
71.78,2021-07-28,03:10:39
71.77,2021-07-28,03:15:31
71.78,2021-07-28,03:20:47
71.77,2021-07-28,03:25:33
71.9,2021-07-28,03:31:00
71.97,2021-07-28,03:36:00
71.93,2021-07-28,03:40:52
71.87,2021-07-28,03:45:01
71.93,2021-07-28,03:50:57
71.96,2021-07-28,03:56:00
71.65,2021-07-28,04:04:00
71.91,2021-07-28,05:00:01
71.91,2021-07-28,05:06:00
71.88,2021-07-28,05:10:55
71.89,2021-07-28,05:15:37
71.97,2021-07-28,05:20:46
71.92,2021-07-28,05:25:59
71.88,2021-07-28,05:30:51
71.89,2021-07-28,05:35:50
71.97,2021-07-28,05:40:56
71.98,2021-07-28,05:45:50
71.96,2021-07-28,05:51:01
71.95,2021-07-28,05:55:57
71.98,2021-07-28,06:00:45
71.97,2021-07-28,06:05:57
72,2021-07-28,06:10:52
71.98,2021-07-28,06:15:44
71.98,2021-07-28,06:20:51
71.96,2021-07-28,06:25:49
71.98,2021-07-28,06:30:15
72,2021-07-28,06:36:59
71.97,2021-07-28,06:40:58
71.96,2021-07-28,06:45:01
71.99,2021-07-28,06:50:52
71.99,2021-07-28,06:55:59
72,2021-07-28,07:00:01
71.96,2021-07-28,07:05:01
72,2021-07-28,07:11:01
72,2021-07-28,07:15:01
72.01,2021-07-28,07:20:47
71.98,2021-07-28,07:25:55
71.98,2021-07-28,07:31:00
72,2021-07-28,07:35:56
72.03,2021-07-28,07:41:01
72.02,2021-07-28,07:45:59
72.05,2021-07-28,07:50:50
72.03,2021-07-28,07:56:00
72.07,2021-07-28,08:00:01
72.13,2021-07-28,08:06:01
72.12,2021-07-28,08:10:01
72.1,2021-07-28,08:15:01
72.09,2021-07-28,08:20:01
72.11,2021-07-28,08:25:01
72.14,2021-07-28,08:31:00
72.13,2021-07-28,08:35:58
72.07,2021-07-28,08:40:02
72.06,2021-07-28,08:45:01
72.09,2021-07-28,08:51:02
72.14,2021-07-28,08:57:00
72.11,2021-07-28,09:01:01
71.98,2021-07-28,09:05:01
71.95,2021-07-28,09:10:59
72.06,2021-07-28,09:16:00
72.01,2021-07-28,09:20:59
72.06,2021-07-28,09:25:43
72.04,2021-07-28,09:31:01
72.09,2021-07-28,09:36:00
72.1,2021-07-28,09:41:01
72.1,2021-07-28,09:46:01
72.16,2021-07-28,09:50:54
72.17,2021-07-28,09:56:00
72.19,2021-07-28,10:00:01
72.15,2021-07-28,10:05:01
72.21,2021-07-28,10:10:49
72.21,2021-07-28,10:15:57
72.16,2021-07-28,10:20:58
72.2,2021-07-28,10:26:01
72.17,2021-07-28,10:30:59
72.15,2021-07-28,10:35:59
72.13,2021-07-28,10:40:59
72.1,2021-07-28,10:46:00
72.12,2021-07-28,10:50:01
72.11,2021-07-28,10:55:59
72.12,2021-07-28,11:00:45
72.1,2021-07-28,11:05:01
72.06,2021-07-28,11:11:01
72.08,2021-07-28,11:15:44
72.08,2021-07-28,11:20:01
72.09,2021-07-28,11:25:42
72.08,2021-07-28,11:30:53
72.07,2021-07-28,11:35:46
72.06,2021-07-28,11:41:01
72.04,2021-07-28,11:46:01
72.06,2021-07-28,11:50:50
72.04,2021-07-28,11:56:01
72.06,2021-07-28,12:00:58
71.99,2021-07-28,12:05:51
71.99,2021-07-28,12:10:58
72.03,2021-07-28,12:15:43
71.98,2021-07-28,12:20:58
71.99,2021-07-28,12:25:38
72.02,2021-07-28,12:30:02
71.98,2021-07-28,12:35:01
72.07,2021-07-28,12:40:57
72.07,2021-07-28,12:46:01
72.14,2021-07-28,12:50:54
72.12,2021-07-28,12:55:59
72.12,2021-07-28,13:00:01
72.13,2021-07-28,13:05:01
72.09,2021-07-28,13:10:01
72.11,2021-07-28,13:15:02
72.09,2021-07-28,13:20:25
72.15,2021-07-28,13:26:00
72.18,2021-07-28,13:30:01
72.18,2021-07-28,13:36:00
72.09,2021-07-28,13:40:01
72.08,2021-07-28,13:45:59
72.08,2021-07-28,13:50:57
72.05,2021-07-28,13:55:01
71.98,2021-07-28,14:00:01
72.08,2021-07-28,14:06:01
72.09,2021-07-28,14:11:01
72.06,2021-07-28,14:15:01
72.06,2021-07-28,14:21:01
72.05,2021-07-28,14:25:59
72.02,2021-07-28,14:30:01
71.98,2021-07-28,14:36:01
71.94,2021-07-28,14:40:01
71.92,2021-07-28,14:45:01
71.89,2021-07-28,14:50:58
71.86,2021-07-28,14:55:56
71.94,2021-07-28,15:01:01
72.05,2021-07-28,15:05:01
72.01,2021-07-28,15:11:01
71.98,2021-07-28,15:15:01
72.02,2021-07-28,15:20:59
71.91,2021-07-28,15:25:01
72.08,2021-07-28,15:31:02
72.13,2021-07-28,15:35:01
72.08,2021-07-28,15:41:01
72.12,2021-07-28,15:45:59
72.18,2021-07-28,15:50:01
72.43,2021-07-28,15:56:00
72.47,2021-07-28,16:00:01
72.51,2021-07-28,16:06:00
72.51,2021-07-28,16:10:01
72.54,2021-07-28,16:16:02
72.57,2021-07-28,16:20:01
72.47,2021-07-28,16:26:00
72.44,2021-07-28,16:30:01
72.45,2021-07-28,16:36:01
72.4,2021-07-28,16:40:02
72.36,2021-07-28,16:45:01
72.4,2021-07-28,16:50:01
72.4,2021-07-28,16:55:01
72.34,2021-07-28,17:00:01
72.34,2021-07-28,17:06:01
72.23,2021-07-28,17:10:01
71.83,2021-07-28,17:16:01
71.96,2021-07-28,17:21:01
71.91,2021-07-28,17:25:01
71.92,2021-07-28,17:30:01
72.01,2021-07-28,17:35:01
72.04,2021-07-28,17:40:01
72.02,2021-07-28,17:46:01
72.04,2021-07-28,17:51:01
72.01,2021-07-28,17:55:01
71.98,2021-07-28,18:00:01
71.95,2021-07-28,18:06:01
71.91,2021-07-28,18:10:01
71.89,2021-07-28,18:15:02
71.79,2021-07-28,18:20:01
